w,dapi,mito,alexa
350,0.0,0.0,0.0
351,0.0,0.0,0.0
352,0.0,0.0,0.0
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
356,0.0,0.0,0.0
357,0.0,0.0,0.0
358,0.0,0.0,0.0
359,0.0,0.0,0.0
360,0.0,0.0,0.0
361,0.0,0.0,0.0
362,0.0,0.0,0.0
363,0.0,0.0,0.0
364,0.0,0.0,0.0
365,0.0,0.0,0.0
366,0.0,0.0,0.0
367,0.0,0.0,0.0
368,0.0,0.0,0.0
369,0.0,0.0,0.0
370,0.0,0.0,0.0
371,0.0,0.0,0.0
372,0.0,0.0,0.0
373,0.0,0.0,0.0
374,0.0,0.0,0.0
375,0.0030998100992292,0.0,0.0
376,0.0037611098960042,0.0,0.0
377,0.0043879598379135,0.0,0.0
378,0.0044361799955368,0.0,0.0
379,0.0044361799955368,0.0,0.0
380,0.004753049928695,0.0,0.0
381,0.0060859699733555,0.0,0.0
382,0.0067266002297401,0.0,0.0
383,0.0076048797927797,0.0,0.0
384,0.0088723599910736,0.0,0.0
385,0.010773600079119,0.0,0.0
386,0.012674800120294,0.0,0.0
387,0.014892900362611,0.0,0.0
388,0.017110999673605,0.0,0.0
389,0.021547200158238,0.0,0.0
390,0.025349600240588,0.0,0.0
391,0.030102599412203,0.0,0.0
392,0.03612320125103,0.0,0.0
393,0.042143698781729,0.0,0.0
394,0.051966700702906,0.0,0.0
395,0.059550900012255,0.0,0.0
396,0.069893896579742,0.0,0.0
397,0.08211749792099,0.0,0.0
398,0.09330440312624,0.0,0.0
399,0.10291399806738,0.0,0.0
400,0.11810299754143,0.0,0.0
401,0.13058499991894,0.0,0.0
402,0.14499199390411,0.0,0.0
403,0.16123899817467,0.0,0.0
404,0.18024399876595,0.0,0.0
405,0.19832900166512,0.0,0.0
406,0.216721996665,0.0,0.0
407,0.23971199989319,0.0,0.0
408,0.25762900710106,0.0,0.0
409,0.27854201197624,0.0,0.0
410,0.29884999990463,0.0,0.0
411,0.31343299150467,0.0,0.0
412,0.33740401268005,0.0,0.0
413,0.35689198970795,0.0,0.0
414,0.37635201215744,0.0,0.0
415,0.39884299039841,0.0,0.0
416,0.41861298680305,0.0,0.0
417,0.44499498605728,0.0,0.0
418,0.46207898855209,0.0,0.0
419,0.48608499765396,0.0,0.0
420,0.50916200876236,0.0,0.0
421,0.53227198123932,0.0,0.0
